과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,A 비율,B 비율,C 비율,D 비율,F 비율
학생241,202400241,25,66,12,7,0,,,,,
학생171,202400171,14,81,13,9,0,,,,,
학생125,202400125,8,64,20,10,0,,,,,
학생098,202400098,25,95,15,9,0,,,,,
학생094,202400094,13,87,25,10,0,,,,,
학생223,202400223,13,78,10,10,0,,,,,
학생010,202400010,6,59,12,8,0,,,,,
학생289,202400289,10,94,10,9,0,,,,,
학생396,202400396,12,97,7,9,0,,,,,
학생259,202400259,13,66,8,8,0,,,,,
학생060,202400060,7,78,15,9,0,,,,,
학생227,202400227,11,74,28,10,0,,,,,
학생313,202400313,5,58,13,7,0,,,,,
학생177,202400177,17,96,6,6,0,,,,,
학생034,202400034,14,87,15,7,0,,,,,
학생310,202400310,13,51,25,8,0,,,,,
학생135,202400135,19,78,26,6,0,,,,,
학생225,202400225,8,100,17,10,0,,,,,
학생366,202400366,11,59,17,5,0,,,,,
학생219,202400219,25,82,30,7,0,,,,,
학생173,202400173,12,73,8,10,0,,,,,
학생349,202400349,24,87,28,7,0,,,,,
학생124,202400124,4,89,11,6,0,,,,,
학생032,202400032,10,51,11,10,0,,,,,
학생181,202400181,20,96,18,5,0,,,,,
학생157,202400157,30,82,14,7,0,,,,,
학생048,202400048,27,62,17,5,0,,,,,
학생066,202400066,20,79,7,9,0,,,,,
학생052,202400052,11,72,6,10,0,,,,,
학생116,202400116,22,58,11,10,0,,,,,
학생237,202400237,19,90,11,6,0,,,,,
학생097,202400097,25,94,21,6,0,,,,,
학생148,202400148,9,58,29,6,0,,,,,
학생075,202400075,30,81,25,9,0,,,,,
학생367,202400367,18,72,21,8,0,,,,,
학생217,202400217,5,76,17,7,0,,,,,
학생393,202400393,14,65,11,10,0,,,,,
학생146,202400146,9,93,10,8,0,,,,,
학생376,202400376,20,51,24,6,0,,,,,
학생276,202400276,23,94,23,5,0,,,,,
학생304,202400304,28,90,26,8,0,,,,,
학생382,202400382,4,58,8,8,0,,,,,
학생199,202400199,25,91,24,6,0,,,,,
학생297,202400297,6,56,22,5,0,,,,,
학생046,202400046,28,55,10,8,0,,,,,
학생206,202400206,8,95,19,6,0,,,,,
학생138,202400138,20,78,12,7,0,,,,,
학생195,202400195,21,60,23,6,0,,,,,
학생033,202400033,30,92,10,7,0,,,,,
학생324,202400324,5,96,25,5,0,,,,,
학생242,202400242,11,74,17,8,0,,,,,
학생335,202400335,23,67,12,8,0,,,,,
학생358,202400358,11,90,28,10,0,,,,,
학생147,202400147,22,59,27,9,0,,,,,
학생150,202400150,26,55,10,10,0,,,,,
학생291,202400291,6,64,6,8,0,,,,,
학생381,202400381,21,63,13,10,0,,,,,
학생145,202400145,27,100,20,9,0,,,,,
학생290,202400290,21,68,24,7,0,,,,,
학생222,202400222,19,86,30,6,0,,,,,
학생392,202400392,13,96,26,7,0,,,,,
학생198,202400198,28,78,11,5,0,,,,,
학생391,202400391,29,64,30,5,0,,,,,
학생062,202400062,25,94,17,5,0,,,,,
학생176,202400176,17,70,13,5,0,,,,,
학생071,202400071,5,72,21,7,0,,,,,
학생239,202400239,15,81,12,5,0,,,,,
학생189,202400189,27,82,6,5,0,,,,,
학생027,202400027,19,93,17,10,0,,,,,
학생169,202400169,11,72,6,8,0,,,,,
학생272,202400272,15,97,14,5,0,,,,,
학생091,202400091,30,86,28,10,0,,,,,
학생020,202400020,17,76,23,8,0,,,,,
학생149,202400149,16,74,18,7,0,,,,,
학생119,202400119,25,92,12,5,0,,,,,
학생013,202400013,19,94,6,5,0,,,,,
학생269,202400269,29,82,15,5,0,,,,,
학생127,202400127,16,72,10,8,0,,,,,
학생015,202400015,10,97,29,9,0,,,,,
학생385,202400385,5,59,16,10,0,,,,,
학생044,202400044,14,54,22,9,0,,,,,
학생059,202400059,26,85,25,10,0,,,,,
학생203,202400203,28,52,29,6,0,,,,,
학생228,202400228,19,92,23,5,0,,,,,
학생110,202400110,13,63,24,8,0,,,,,
학생018,202400018,9,98,27,5,0,,,,,
학생277,202400277,9,50,22,5,0,,,,,
